小花有一些貼紙，送給同學19張後還剩34張，請問小花原來有幾張貼紙？,0,43,53,63,73,53,設小花原來有□張貼紙。根據題意列式：□－19＝34。要找出□的值，把19從左邊移到右邊，減法變成加法：□＝34＋19＝53。因此小花原來有53張貼紙。驗算：53－19＝34 ✓，答案正確。,1
如果 □＋37＝82，請問□等於多少？,1,,,,,45,要找出□的值，需要把37從等號左邊移到右邊。移過去時，加法變成減法。所以□＝82－37。計算82－37＝45。因此□＝45。驗算：45＋37＝82 ✓，答案正確。,1
如果 □×8＝96，請問□等於多少？,1,,,,,12,要找出□的值，需要把×8從等號左邊移到右邊。移過去時，乘法變成除法。所以□＝96÷8＝12。因此□＝12。驗算：12×8＝96 ✓，答案正確。,1
如果 □÷7＝13，請問□等於多少？,0,77,84,91,98,91,要找出□的值，需要把÷7從等號左邊移到右邊。移過去時，除法變成乘法。所以□＝13×7＝91。因此□＝91。驗算：91÷7＝13 ✓，答案正確。,1
一包果汁有6瓶，小美買了幾包後共有54瓶，請問小美買了幾包？,0,7,8,9,10,9,設小美買了□包。根據題意列式：□×6＝54。把×6移到右邊，乘法變除法：□＝54÷6＝9。因此小美買了9包果汁。驗算：9×6＝54 ✓，答案正確。,1
媽媽買了一些蘋果，平均分給4個小朋友，每人分到8個，請問媽媽買了幾個蘋果？,1,,,,,32,設媽媽買了□個蘋果。根據題意列式：□÷4＝8。要找出□的值，把÷4移到右邊，除法變成乘法：□＝8×4＝32。因此媽媽買了32個蘋果。驗算：32÷4＝8 ✓，答案正確。,1
如果 □－56＝29，請問□等於多少？,0,75,85,95,105,85,要找出□的值，需要把56從等號左邊移到右邊。移過去時，減法變成加法。所以□＝29＋56＝85。因此□＝85。驗算：85－56＝29 ✓，答案正確。,1
教室裡有一些椅子，搬走17張後又搬進5張，現在有38張，請問教室裡原來有幾張椅子？,0,40,45,50,55,50,設教室原來有□張椅子。根據題意列式：□－17＋5＝38。先合併常數：□－12＝38。把12移到右邊，減法變加法：□＝38＋12＝50。因此教室裡原來有50張椅子。驗算：50－17＋5＝33＋5＝38 ✓，答案正確。,1
小明有200元，買了5本筆記本後還剩75元，請問每本筆記本幾元？,1,,,,,25,設每本筆記本□元。根據題意列式：200－5×□＝75。第一步：移項得5×□＝200－75＝125。第二步：把×5移到右邊，乘法變除法：□＝125÷5＝25。因此每本筆記本25元。驗算：200－5×25＝200－125＝75 ✓，答案正確。,1
書架上有一些書，先放上23本，再拿走9本，現在有46本，請問書架上原來有幾本書？,0,22,32,42,52,32,設書架原來有□本書。根據題意列式：□＋23－9＝46。先合併常數：□＋14＝46。把14移到右邊，加法變減法：□＝46－14＝32。因此書架上原來有32本書。驗算：32＋23－9＝55－9＝46 ✓，答案正確。,1
