1→正方體邊長6公分，表面積是幾平方公分？,0,144,180,216,252,216,正方體有6個完全一樣的正方形面。每個面的面積＝邊長×邊長＝6×6＝36平方公分。表面積＝6個面的面積合計＝36×6＝216平方公分。,1
2→正方體邊長9公分，表面積是幾平方公分？,1,,,,,486,正方體有6個完全一樣的正方形面。每個面的面積＝邊長×邊長＝9×9＝81平方公分。表面積＝6個面的面積合計＝81×6＝486平方公分。,1
3→長方體長10公分、寬4公分、高3公分，表面積是幾平方公分？,0,124,148,164,184,164,長方體有6個面，分成3對相同的面。上下面：長×寬＝10×4＝40平方公分，共2個＝80平方公分。前後面：長×高＝10×3＝30平方公分，共2個＝60平方公分。左右面：寬×高＝4×3＝12平方公分，共2個＝24平方公分。表面積＝80＋60＋24＝164平方公分。也可以用公式：2×(40＋30＋12)＝2×82＝164平方公分。,1
4→長方體長7公分、寬5公分、高2公分，表面積是幾平方公分？,0,94,108,118,142,118,長方體有6個面，分成3對相同的面。上下面：長×寬＝7×5＝35平方公分，共2個＝70平方公分。前後面：長×高＝7×2＝14平方公分，共2個＝28平方公分。左右面：寬×高＝5×2＝10平方公分，共2個＝20平方公分。表面積＝70＋28＋20＝118平方公分。也可以用公式：2×(35＋14＋10)＝2×59＝118平方公分。,1
5→正方體邊長11公分，表面積是幾平方公分？,0,606,660,726,792,726,正方體有6個完全一樣的正方形面。每個面的面積＝邊長×邊長＝11×11＝121平方公分。表面積＝6個面的面積合計＝121×6＝726平方公分。,1
6→一個長方體有三對面，其中一對面是長8公分、寬6公分的長方形。請問這一對面的面積合計是幾平方公分？,0,48,72,96,108,96,長方體有3對相同的面。這一對面的每個面積＝長×寬＝8×6＝48平方公分。因為一對有2個一樣的面，所以合計＝48×2＝96平方公分。辨認長方體的三對面是計算表面積的基礎！,1
7→長方體長15公分、寬10公分、高8公分，表面積是幾平方公分？,1,,,,,700,長方體有6個面，分成3對相同的面。上下面：長×寬＝15×10＝150平方公分，共2個＝300平方公分。前後面：長×高＝15×8＝120平方公分，共2個＝240平方公分。左右面：寬×高＝10×8＝80平方公分，共2個＝160平方公分。表面積＝300＋240＋160＝700平方公分。也可以用公式：2×(150＋120＋80)＝2×350＝700平方公分。,1
8→正方體邊長3公分，表面積是幾平方公分？,0,27,36,54,72,54,正方體有6個完全一樣的正方形面。每個面的面積＝邊長×邊長＝3×3＝9平方公分。表面積＝6個面的面積合計＝9×6＝54平方公分。,1
9→一個長方體的三對面分別是：上下面每個12平方公分、前後面每個15平方公分、左右面每個20平方公分，表面積是幾平方公分？,0,47,88,94,100,94,長方體表面積＝三對面的面積全部加起來。上下面合計＝12×2＝24平方公分。前後面合計＝15×2＝30平方公分。左右面合計＝20×2＝40平方公分。表面積＝24＋30＋40＝94平方公分。,1
10→長方體長6公分、寬6公分、高10公分，表面積是幾平方公分？,1,,,,,312,長方體有6個面，分成3對相同的面。上下面：長×寬＝6×6＝36平方公分，共2個＝72平方公分。前後面：長×高＝6×10＝60平方公分，共2個＝120平方公分。左右面：寬×高＝6×10＝60平方公分，共2個＝120平方公分。表面積＝72＋120＋120＝312平方公分。也可以用公式：2×(36＋60＋60)＝2×156＝312平方公分。,1
