1→1 公斤等於幾公克？,0,10公克,100公克,1000公克,10000公克,1000公克,1 公斤 = 1000 公克，這是重量換算的基本關係,1
2→下面哪個最重？,0,500公克,1公斤,800公克,1200公克,1200公克,換算成公克比較：500、1000、800、1200。1200 公克最大,1
3→一顆蘋果大約多重？,0,2公克,20公克,200公克,2公斤,200公克,一顆蘋果大約 150~250 公克，約 200 公克最合理。2 公克太輕，2 公斤太重,1
4→超市的磅秤最重秤 5 公斤。下面哪個東西可能秤不了？,0,蘋果3公斤200公克,雞蛋600公克,白米8公斤,牛奶1公斤,白米8公斤,8 公斤>5 公斤，超過磅秤的最大秤重量,2
5→3 公斤等於幾公克？（請填數字）,1,,,,,3000,3 公斤 = 3×1000 = 3000 公克,1
6→2000 公克等於幾公斤？（請填數字）,1,,,,,2,2000 公克 ÷ 1000 = 2 公斤,1
7→5 公斤 200 公克等於幾公克？（請填數字）,1,,,,,5200,5 公斤=5000 公克。5000+200=5200 公克,1
8→一個西瓜重 4 公斤 500 公克。換算成公克是多少？（請填數字）,1,,,,,4500,4 公斤=4000 公克。4000+500=4500 公克,1
9→7500 公克等於幾公斤幾公克？請填公斤數。（請填數字）,1,,,,,7,7500÷1000=7...500。所以是 7 公斤 500 公克，公斤數是 7,1
10→2 公斤 800 公克加 1 公斤 200 公克等於幾公克？（請填數字）,1,,,,,4000,2800+1200=4000 公克=4 公斤,2
11→5 公斤減 1 公斤 300 公克等於幾公克？（請填數字）,1,,,,,3700,5 公斤=5000 公克。5000-1300=3700 公克=3 公斤 700 公克,2
12→3 本課本：第一本 350 公克，第二本 420 公克，第三本 230 公克。三本共重幾公克？（請填數字）,1,,,,,1000,350+420+230=1000 公克=剛好 1 公斤,2
13→6 公斤 400 公克減 2 公斤 900 公克等於幾公克？（請填數字）,1,,,,,3500,6400-2900=3500 公克。400 不夠減 900，從公斤借 1000：1400-900=500，5公斤-2公斤=3公斤，所以 3 公斤 500 公克=3500,2
14→4 公斤 600 公克加 3 公斤 800 公克等於幾公克？（請填數字）,1,,,,,8400,4600+3800=8400 公克=8 公斤 400 公克。600+800=1400 要進位 1 公斤,2
15→9000 公克等於幾公斤？（請填數字）,1,,,,,9,9000÷1000=9 公斤,1
16→1 公斤 50 公克等於幾公克？（請填數字）,1,,,,,1050,1 公斤=1000 公克。1000+50=1050 公克,1
17→媽媽去市場買水果。蘋果重 1 公斤 200 公克，香蕉重 800 公克。兩種水果加起來共重幾公克？（請填數字）,2,,,,,2000,【步驟】第一步：蘋果=1 公斤 200 公克=1200 公克。第二步：香蕉=800 公克。第三步：1200+800=2000 公克=2 公斤,2
18→小明的書包重 3 公斤 400 公克。放學後他拿出重 600 公克的水壺。書包現在多重？以公克回答。（請填數字）,2,,,,,2800,【步驟】第一步：書包=3400 公克。第二步：拿出水壺=3400-600。第三步：400 不夠減 600，從 3 公斤借 1000 公克。第四步：3400-600=2800 公克=2 公斤 800 公克,2
19→校園裡的貓咪體重 3 公斤。獸醫說牠需要增加 500 公克才是健康體重。健康體重是幾公克？（請填數字）,2,,,,,3500,【步驟】第一步：貓咪=3 公斤=3000 公克。第二步：需要增加 500 公克。第三步：3000+500=3500 公克=3 公斤 500 公克,2
20→便當店外送每個袋子最多裝 3 公斤。一個便當重 500 公克。一個袋子最多裝幾個便當？（請填數字）,2,,,,,6,【步驟】第一步：3 公斤=3000 公克。第二步：3000÷500=6（個）。【關鍵】先把公斤換算成公克，單位一樣才能計算,2
21→營養午餐白飯一碗 200 公克。全班 28 位同學每人吃一碗。需要準備幾公克的白飯？（請填數字）,2,,,,,5600,【步驟】第一步：28×200=5600 公克。第二步：換算 5600÷1000=5...600。第三步：5 公斤 600 公克,2
22→郵局規定包裹不超過 5 公斤。小花要寄：書 800 公克、餅乾 1 公斤 200 公克、布偶 500 公克、衣服 700 公克。總重幾公克？（請填數字）,2,,,,,3200,【步驟】第一步：統一為公克。書=800，餅乾=1200，布偶=500，衣服=700。第二步：800+1200+500+700=3200 公克=3 公斤 200 公克。3200<5000，可以寄,2
23→烘焙課需要：麵粉 1 公斤 500 公克、砂糖 300 公克、奶油 200 公克。全部材料共重幾公克？（請填數字）,2,,,,,2000,【步驟】第一步：麵粉=1500 公克。第二步：1500+300+200=2000 公克=2 公斤,2
24→動物園小兔子重 2 公斤 300 公克，小貓重 3 公斤 100 公克。小貓比小兔子重幾公克？（請填數字）,2,,,,,800,【步驟】第一步：小貓=3100 公克。第二步：小兔子=2300 公克。第三步：3100-2300=800 公克,2
25→園遊會賣爆米花。一大桶 2 公斤，分成小包每包 250 公克。一大桶可以分幾小包？（請填數字）,2,,,,,8,【步驟】第一步：2 公斤=2000 公克。第二步：2000÷250=8（包）。【驗算】8×250=2000 ✓,2
26→小美帶背包去爬山。空背包 800 公克，水壺 1 公斤 200 公克，便當 500 公克，外套 300 公克。裝好後背包共重幾公克？（請填數字）,2,,,,,2800,【步驟】第一步：800+1200+500+300=2800 公克=2 公斤 800 公克,2
