一個正方體的邊長是6公分，請問這個正方體的體積是幾立方公分？,0,36,216,108,180,216,正方體的體積公式是「邊長×邊長×邊長」，因為正方體的三個邊都一樣長。代入數字：6×6×6，先算6×6＝36，再算36×6＝216。所以這個正方體的體積是216立方公分。注意不要只算6×6＝36就停了，那是「面積」不是「體積」，體積要乘三次。,1
一個長方體的長是9公分、寬是7公分、高是5公分，請問這個長方體的體積是幾立方公分？,0,315,280,245,350,315,長方體的體積公式是「長×寬×高」，因為體積就是底面積（長×寬）再往上堆疊高度的結果。代入數字：9×7×5，先算9×7＝63，再算63×5＝315。所以這個長方體的體積是315立方公分。,1
正方體的邊長是4公分，請問這個正方體的體積是幾立方公分？,1,,,,,64,正方體的體積公式是「邊長×邊長×邊長」。代入數字：4×4×4，先算4×4＝16，再算16×4＝64。所以這個正方體的體積是64立方公分。,1
一個長方體的長是15公分、寬是4公分、高是8公分，請問這個長方體的體積是幾立方公分？,1,,,,,480,長方體的體積公式是「長×寬×高」。代入數字：15×4×8，先算15×4＝60，再算60×8＝480。所以這個長方體的體積是480立方公分。,1
1立方公尺等於多少立方公分？,0,100,10000,100000,1000000,1000000,1公尺＝100公分。換算成立方單位時，長、寬、高三個方向都要乘以100。所以1立方公尺＝100×100×100＝1000000立方公分。常見的錯誤是只乘一次100得到100，或乘兩次得到10000，但體積是三維的，所以要乘三次。,1
一個長方體的底面積是90平方公分、高是6公分，請問這個長方體的體積是幾立方公分？,0,96,540,360,180,540,長方體的體積也可以用「底面積×高」來計算。底面積就是長×寬的結果，所以底面積×高＝長×寬×高＝體積。代入數字：90×6＝540。所以這個長方體的體積是540立方公分。,1
正方體甲的邊長是3公分，長方體乙的長是6公分、寬是3公分、高是2公分。請問哪個形體的體積比較大？,0,正方體甲,長方體乙,一樣大,無法比較,長方體乙,分別算出兩個形體的體積再比較。正方體甲的體積＝3×3×3＝27立方公分。長方體乙的體積＝6×3×2，先算6×3＝18，再算18×2＝36立方公分。因為36＞27，所以長方體乙的體積比較大。,1
一個正方體的邊長是10公分，請問這個正方體的體積是幾立方公分？,0,100,1000,10000,30,1000,正方體的體積公式是「邊長×邊長×邊長」。代入數字：10×10×10，先算10×10＝100，再算100×10＝1000。所以這個正方體的體積是1000立方公分。注意100是正方形的面積（平方公分），體積要再乘一次邊長。,1
長方體的長是20公分、寬是10公分、高是3公分，請問這個長方體的體積是幾立方公分？,1,,,,,600,長方體的體積公式是「長×寬×高」。代入數字：20×10×3，先算20×10＝200，再算200×3＝600。所以這個長方體的體積是600立方公分。,1
一個正方體的體積是125立方公分，請問它的邊長是幾公分？,0,5,25,15,10,5,正方體的體積＝邊長×邊長×邊長。已知體積是125，要找邊長。我們可以嘗試：5×5×5，先算5×5＝25，再算25×5＝125，剛好等於125。所以邊長是5公分。這種反向求邊長的題目，可以用「試看看」的方法，從小的數字開始試。,1
